Trial 0: learning_rate=0.0005308851871217009, batch_size=16, masking_ratio=0.22654274921397324, num_layers=1, hidden_dim=128, validation_loss=0.011035
Trial 1: learning_rate=0.00029514179510407927, batch_size=128, masking_ratio=0.4530802731439447, num_layers=2, hidden_dim=32, validation_loss=0.177309
Trial 2: learning_rate=0.006273595202481899, batch_size=64, masking_ratio=0.35221127346128245, num_layers=3, hidden_dim=64, validation_loss=0.034667
Trial 3: learning_rate=2.401293384132554e-05, batch_size=16, masking_ratio=0.3178871265762174, num_layers=3, hidden_dim=32, validation_loss=0.288855
Trial 4: learning_rate=0.015730164121065763, batch_size=16, masking_ratio=0.36404886213184584, num_layers=2, hidden_dim=32, validation_loss=0.161634
Trial 5: learning_rate=0.022161376062435033, batch_size=64, masking_ratio=0.31507702406098836, num_layers=2, hidden_dim=32, validation_loss=0.118970
Trial 6: learning_rate=0.0001854764915610729, batch_size=128, masking_ratio=0.3716224631366475, num_layers=2, hidden_dim=32, validation_loss=0.215565
Trial 7: learning_rate=0.0004707125354180861, batch_size=32, masking_ratio=0.46341075640748386, num_layers=3, hidden_dim=64, validation_loss=0.026592
Trial 8: learning_rate=3.445355759335212e-05, batch_size=16, masking_ratio=0.21897679945271376, num_layers=2, hidden_dim=128, validation_loss=0.111366
Trial 9: learning_rate=0.00014050354557175695, batch_size=64, masking_ratio=0.3866652408962087, num_layers=1, hidden_dim=64, validation_loss=0.124632
Trial 10: learning_rate=0.0026368678703568515, batch_size=32, masking_ratio=0.10772593564051419, num_layers=1, hidden_dim=128, validation_loss=0.019271
Trial 11: learning_rate=0.0023255082140719537, batch_size=32, masking_ratio=0.12269701538407819, num_layers=1, hidden_dim=128, validation_loss=0.011288
Trial 12: learning_rate=0.0016476936089192362, batch_size=32, masking_ratio=0.19557366768240073, num_layers=1, hidden_dim=128, validation_loss=0.010375
Trial 13: learning_rate=0.09200412178703006, batch_size=16, masking_ratio=0.22591483409665014, num_layers=1, hidden_dim=128, validation_loss=inf
Trial 14: learning_rate=0.001099297117915244, batch_size=32, masking_ratio=0.21635016403811963, num_layers=1, hidden_dim=128, validation_loss=0.013031
Trial 15: learning_rate=8.868912300923397e-05, batch_size=32, masking_ratio=0.1669478617288513, num_layers=1, hidden_dim=128, validation_loss=0.062106
Trial 16: learning_rate=0.0008239153204896005, batch_size=16, masking_ratio=0.27878048207082656, num_layers=1, hidden_dim=128, validation_loss=0.021322
Trial 17: learning_rate=0.004583555132868228, batch_size=128, masking_ratio=0.16580469005027035, num_layers=1, hidden_dim=128, validation_loss=0.020520
Trial 18: learning_rate=0.0014838788533188293, batch_size=16, masking_ratio=0.2607699184593199, num_layers=1, hidden_dim=128, validation_loss=0.046608
Trial 19: learning_rate=6.623296851211878e-05, batch_size=32, masking_ratio=0.1692532052109252, num_layers=2, hidden_dim=128, validation_loss=0.088401
Trial 20: learning_rate=1.3443950116679612e-05, batch_size=16, masking_ratio=0.24609527191858335, num_layers=2, hidden_dim=64, validation_loss=0.267964
Trial 21: learning_rate=0.00048656852885165864, batch_size=32, masking_ratio=0.11056357448720136, num_layers=1, hidden_dim=128, validation_loss=0.006066
Trial 22: learning_rate=0.00047407692218340026, batch_size=32, masking_ratio=0.14459778297439368, num_layers=1, hidden_dim=128, validation_loss=0.008149
Trial 23: learning_rate=0.0002940994889525295, batch_size=32, masking_ratio=0.13993251706889212, num_layers=1, hidden_dim=128, validation_loss=0.007732
Trial 24: learning_rate=0.0003220479799426459, batch_size=32, masking_ratio=0.1361090256830862, num_layers=1, hidden_dim=128, validation_loss=0.007478
Trial 25: learning_rate=0.00027156908619293114, batch_size=32, masking_ratio=0.10619899024508642, num_layers=1, hidden_dim=128, validation_loss=0.011029
Trial 26: learning_rate=8.924051573833426e-05, batch_size=32, masking_ratio=0.14460089088101577, num_layers=1, hidden_dim=128, validation_loss=0.059217
Trial 27: learning_rate=5.587952659732007e-05, batch_size=32, masking_ratio=0.13786177310895356, num_layers=2, hidden_dim=128, validation_loss=0.101658
Trial 28: learning_rate=0.0001793195341480293, batch_size=32, masking_ratio=0.18303652559868047, num_layers=1, hidden_dim=64, validation_loss=0.058193
Trial 29: learning_rate=0.0006079635966649547, batch_size=32, masking_ratio=0.20436427713195449, num_layers=1, hidden_dim=128, validation_loss=0.012469
Trial 30: learning_rate=0.00033921296547399386, batch_size=32, masking_ratio=0.12441660137347296, num_layers=1, hidden_dim=128, validation_loss=0.009514
Trial 31: learning_rate=0.0005086571473787171, batch_size=32, masking_ratio=0.1481643188317008, num_layers=1, hidden_dim=128, validation_loss=0.008222
Trial 32: learning_rate=0.0007434324941529894, batch_size=32, masking_ratio=0.49315993845609263, num_layers=1, hidden_dim=128, validation_loss=0.026567
Trial 33: learning_rate=0.000275689704883127, batch_size=128, masking_ratio=0.10265894925951685, num_layers=1, hidden_dim=128, validation_loss=0.039809
Trial 34: learning_rate=0.00017805884986000958, batch_size=64, masking_ratio=0.15304057957350226, num_layers=1, hidden_dim=128, validation_loss=0.038554
Trial 35: learning_rate=0.00394622638248359, batch_size=32, masking_ratio=0.12864764081591618, num_layers=1, hidden_dim=32, validation_loss=0.023590
Trial 36: learning_rate=0.0004045751022448259, batch_size=32, masking_ratio=0.183663405649855, num_layers=3, hidden_dim=128, validation_loss=0.010464
Trial 37: learning_rate=0.00011894417508444483, batch_size=128, masking_ratio=0.24535556017652754, num_layers=2, hidden_dim=32, validation_loss=0.260247
Trial 38: learning_rate=0.001288682174018934, batch_size=64, masking_ratio=0.12600155852491163, num_layers=1, hidden_dim=64, validation_loss=0.014185
Trial 39: learning_rate=0.008849833450347308, batch_size=32, masking_ratio=0.2926685236890032, num_layers=2, hidden_dim=32, validation_loss=0.077657
Trial 40: learning_rate=0.00023917100539578667, batch_size=32, masking_ratio=0.10077347432731737, num_layers=1, hidden_dim=128, validation_loss=0.013968
Trial 41: learning_rate=0.0004970680708683346, batch_size=32, masking_ratio=0.15284352721906252, num_layers=1, hidden_dim=128, validation_loss=0.006747
Trial 42: learning_rate=0.0006244544897196125, batch_size=32, masking_ratio=0.41783167903950036, num_layers=1, hidden_dim=128, validation_loss=0.015424
Trial 43: learning_rate=0.00037092275534491095, batch_size=32, masking_ratio=0.334228053059026, num_layers=1, hidden_dim=128, validation_loss=0.012600
Trial 44: learning_rate=0.0009001873360068818, batch_size=32, masking_ratio=0.15881937944403474, num_layers=2, hidden_dim=128, validation_loss=0.021710
Trial 45: learning_rate=4.039427005505844e-05, batch_size=64, masking_ratio=0.1868134474766756, num_layers=1, hidden_dim=128, validation_loss=0.165808
Trial 46: learning_rate=0.0021013323420445273, batch_size=32, masking_ratio=0.11800691937870081, num_layers=1, hidden_dim=64, validation_loss=0.016720
Trial 47: learning_rate=0.00012355674463549032, batch_size=32, masking_ratio=0.20325905801999886, num_layers=1, hidden_dim=128, validation_loss=0.040330
Trial 48: learning_rate=0.00020134160606990014, batch_size=128, masking_ratio=0.14118919563044754, num_layers=1, hidden_dim=32, validation_loss=0.201518
Trial 49: learning_rate=0.0005391306245399397, batch_size=32, masking_ratio=0.17761445839293194, num_layers=3, hidden_dim=128, validation_loss=0.018943
Best hyperparameters: {'learning_rate': 0.00048656852885165864, 'batch_size': 32, 'masking_ratio': 0.11056357448720136, 'num_layers': 1, 'hidden_dim': 128}
